Pairs,n_clusters,silhouette_score,rand_index,v_measure
Joe_Jonas & Nick_Jonas,2,0.03297848254442215,0.5019342359767892,0.007540762380091283
Joe_Jonas & Kevin_Jonas,2,0.034073956310749054,0.5054924361308142,0.010230561498267406
Joe_Jonas & Frankie_Jonas,2,0.034543465822935104,0.5027801539777588,0.008235461258749806
Nick_Jonas & Kevin_Jonas,2,0.029929490759968758,0.4978659537545143,0.00017558732046318387
Nick_Jonas & Frankie_Jonas,2,0.024891844019293785,0.4987441130298273,0.0003590336071294952
Kevin_Jonas & Frankie_Jonas,2,0.031947001814842224,0.49744120522109136,0.0007172715295374459
Kate_Middleton & Pippa_Middleton,2,0.033012017607688904,0.4977899293688767,0.0002481150618299086
Mark_Wahlberg & Paul_Wahlberg,2,0.03323819860816002,0.5095045799271152,0.017437766757975863
Mark_Wahlberg & James_Wahlberg,2,0.03260739892721176,0.500856653340948,0.00010371351047783752
Mark_Wahlberg & Arthur_Wahlberg,2,0.030513782054185867,0.513816280806572,0.015031279304316997
Mark_Wahlberg & Robert_Wahlberg,2,0.028398558497428894,0.4969725197950629,0.000499690749659132
Paul_Wahlberg & James_Wahlberg,2,0.0368376150727272,0.4948524365133837,0.0014713990933235392
Paul_Wahlberg & Arthur_Wahlberg,2,0.0359487310051918,0.49608062709966405,0.0021614784792040294
Paul_Wahlberg & Robert_Wahlberg,2,0.030962079763412476,0.4989010989010989,0.01309762165848981
James_Wahlberg & Arthur_Wahlberg,2,0.031885553151369095,0.5111111111111111,0.033632459493651685
James_Wahlberg & Robert_Wahlberg,2,0.028682442381978035,0.49230769230769234,6.1509965610219455e-06
Arthur_Wahlberg & Robert_Wahlberg,2,0.025857485830783844,0.49976689976689975,0.024183876923681374
Alec_Baldwin & Daniel_Baldwin,2,0.031681474298238754,0.4984478935698448,0.0020660580942785363
Alec_Baldwin & Stephen_Baldwin,2,0.03169609233736992,0.4973035439137134,8.440256400418364e-05
Alec_Baldwin & William_Baldwin,2,0.03219540789723396,0.4978867286559594,0.0014871977193662053
Daniel_Baldwin & Stephen_Baldwin,2,0.03273307532072067,0.4977653631284916,0.0010001365052158778
Daniel_Baldwin & William_Baldwin,2,0.03139149397611618,0.5025839793281653,0.008573233689337432
Stephen_Baldwin & William_Baldwin,2,0.03493180498480797,0.4978023283440247,0.0008387608768560471
Bette_Midler & Sophie_von_Haselberg,2,0.0283478032797575,0.499764982373678,0.00872899396469747
Elle_Fanning & Dakota_Fanning,2,0.03117813728749752,0.49784791965566716,0.00042277596602661777
Burn_Gorman & William_Dafoe,2,0.03458893671631813,0.4973052425281725,0.00092250228920788
Sharlto_Copley & Iddo_Golberg,2,0.03038593754172325,0.5016528925619834,0.002531066957572633
Rooney_Mara & Kate_Mara,2,0.03441311791539192,0.49791800128123,0.0003626447916458655
Reese_Witherspoon & Ava_Phillippe,2,0.024693304672837257,0.4966887417218543,0.00032997346221551484
Cindy_Crawford & Kaia_Gerber,2,0.03518986701965332,0.5041269841269841,0.01423163323898793
Demi_Moore & Rumor_Willis,2,0.032501671463251114,0.4991546914623838,0.002196248839742095
Goldie_Hawn & Kate_Hudson,2,0.03909241035580635,0.4975186104218362,0.0014937619196565876
Olivia_Munn & Nichole_Bloom,2,0.034401144832372665,0.4988420181968569,0.002907075309565404
Paris_Berelc & Chrissy_Teigen,2,0.030627666041254997,0.4978413996818905,0.0032033741566258414
Arden_Cho & Greta_Lee,2,0.04119248315691948,0.4967432950191571,0.0003817965349260092
Grace_Huang & Constance_Wu,2,0.024786949157714844,0.49669056811913953,1.0597642340981492e-07
Grace_Huang & Alisa_Allapach,2,0.032846614718437195,0.4962518740629685,0.0003147369985653671
Constance_Wu & Alisa_Allapach,2,0.022274939343333244,0.5043273013375295,0.001328410057065326
Willow_Smith & Jaden_Smith,2,0.029863325878977776,0.49748042013235383,6.650769269761499e-05
Augusta_Xu-Holland & Emma_Appleton,2,0.032705679535865784,0.5025484199796126,0.010071963885693242
Paris_Hilton & Nicky_Hilton,2,0.018306436017155647,0.512134583563155,0.011609539922506181
Brenda_Song & Jeannie_Mai,2,0.02596035785973072,0.49845648604269294,0.0009513521290018993
Alexa_Davalos & Kristin_Kreuk,2,0.031179647892713547,0.4981908207960388,0.0015168501307850503
Gigi_Hadid & Gemma_Chan,2,0.029027828946709633,0.49785661492978567,0.0010281866818762453
Deborah_Cox & Nicole_Ari_Parker,2,0.037367891520261765,0.5017231997097769,0.008051370860875423
Rita_Ora & Rihanna,2,0.032186008989810944,0.49846531614487416,0.0013826869655659414
Matt_Barnes & Christopher_Williams,2,0.03226204216480255,0.49589127686472817,0.002945669763500007
India_Love & Karrueche,2,0.01952759362757206,0.49933774834437084,0.004194113129421842
Jessica_White & Eugena_Washington,2,0.03508544713258743,0.49696969696969695,0.00011147811192413124
Amber_Riley & Raven_Goodwin,2,0.03133634850382805,0.49770114942528737,0.001881236436104715
Angell_Conwell & Jennifer_Hudson,2,0.032739460468292236,0.4984733576282872,0.003995540090853341
Allen_Leech & Niall_Horan,2,0.03315015137195587,0.4972742200328407,0.00015553511854145616
Kevin_Alejandro & Jonathan_Rhys_Meyers,2,0.03037143498659134,0.49717626735765064,0.00025328138383401134
Billie_Eilish & Pyper_America,2,0.030286571010947227,0.49845474613686536,0.0019246309944664383
Guillermo_Zapata & George_Clooney,2,0.028048818930983543,0.49586776859504134,0.0007341956818584288
Ruby_Rose & Serinda_Swan,2,0.0322951041162014,0.49818181818181817,0.001123502590123339
Alicia_Vikander & Margarita_Levieva,2,0.03326376900076866,0.4975603492552645,0.0007999916642898897
Luke_Youngblood & Donald_Glover,2,0.03961925953626633,0.4964684438368649,0.0008014410694745757
Ellen_Page & Zoey_Deutch,2,0.03167429193854332,0.49751727115716754,0.00019566439281804387
Camila_Cabello & Anya_Chalotra,2,0.027571901679039,0.49942528735632186,0.005118232441850419
Janelle_Monae & Rasheeda_Frost,2,0.028996026143431664,0.4968553459119497,1.0257199402723119e-05
Bruce_Darnell & Lance_Reddick,2,0.04226479306817055,0.4980392156862745,0.0035647518995528295
Eric_Stoltz & Michael_J_Fox,2,0.03671744465827942,0.4977326319608199,0.0014918615127885878
Reid_Scott & Ben_Feldman,2,0.03170838952064514,0.49645390070921985,0.0
Alicia_Vikander & Niv_Sultan,2,0.02734021656215191,0.49640287769784175,0.000878081629403351
Oliver_Hudson & Lucas_Bravo,2,0.030475273728370667,0.49953081013450107,0.0015421059184957482
Natalia_Lafourcade & Lily_Allen,2,0.02545219659805298,0.49856267966504186,0.004361591851575501
Natasha_Leggero & Eliza_Dushku,2,0.029478788375854492,0.5019753285495445,0.008597491738851461
Tatiana_Maslany & Marguerite_Moreau,2,0.03431953862309456,0.4968553459119497,2.7481558715652353e-05
Tina_Majorino & Michael_Weston,2,0.03397224843502045,0.500343997248022,0.004388984612583141
Vinessa_Shaw & Eliza_Taylor,2,0.03186272457242012,0.51013221712843,0.01869311972531574
James_Patrick_Stuart & Christian_Bale,2,0.031208939850330353,0.4969296173830893,0.00016924427612760102
Stana_Katic & Elizabeth_Reaser,2,0.03271689638495445,0.4972972972972973,1.9138216660972436e-05
Serinda_Swan & Kirsten_Storms,2,0.03268580511212349,0.50011377858687,0.003946663146825621
Brad_Pitt & Guy_Pearce,2,0.03491569682955742,0.49738785804359575,0.0001960719049164543
James_Franco & Dave_Franco,2,0.0306544192135334,0.4985026140805035,0.0015632302146719324
